IP Address,Country,ORPort,Bandwidth (MiB/s),Flags,Nickname
140.78.100.42,at,5443,0.11,"Fast, Running, V2Dir, Valid",INSRelay42at5443
140.78.100.18,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay18at8443
109.70.100.245,at,443,1.46,"Fast, Running, V2Dir, Valid",lamarr
109.70.100.246,at,9030,6.58,"Fast, Running, V2Dir, Valid",hamilton
140.78.100.19,at,5443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay19at5443
140.78.100.18,at,5443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay18at5443
86.59.21.163,at,9001,0.20,"Running, Stable, V2Dir, Valid",wollwoll
140.78.100.40,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay40at8443
140.78.100.16,at,8443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay16at8443
140.78.100.39,at,5443,0.11,"Fast, Running, V2Dir, Valid",INSRelay39at5443
140.78.100.43,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay43at8443
140.78.100.36,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay36at5443
140.78.100.14,at,5443,0.11,"Fast, Running, V2Dir, Valid",INSRelay14at5443
140.78.100.41,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay41at8443
37.252.191.41,at,443,11.87,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Regenwurm
140.78.100.26,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay26at8443
140.78.100.37,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay37at8443
109.70.100.246,at,9000,13.44,"Fast, Running, V2Dir, Valid",hertlein
109.70.100.245,at,9040,7.69,"Fast, Running, V2Dir, Valid",borg
77.220.107.195,at,9001,0.13,"Running, Stable, V2Dir, Valid",Unnamed
140.78.100.41,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay41at5443
109.70.100.246,at,443,1.69,"Fast, Running, V2Dir, Valid",nash
83.164.133.45,at,443,6.31,"Fast, HSDir, Running, Stable, V2Dir, Valid",atrelay
158.255.212.178,at,8443,0.61,"Fast, Running, Stable, V2Dir, Valid",Tardis
80.109.197.24,at,9001,0.10,"Running, Stable, V2Dir, Valid",awesomerelay
140.78.100.24,at,8443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay24at8443
140.78.100.40,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay40at5443
109.70.100.245,at,9010,8.77,"Fast, Running, V2Dir, Valid",molnar
37.252.189.17,at,9001,8.39,"Fast, Running, V2Dir, Valid",IhazTor
109.70.100.245,at,9020,8.35,"Fast, Running, V2Dir, Valid",hopper
140.78.100.23,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay23at5443
109.70.100.246,at,9010,12.00,"Fast, Running, V2Dir, Valid",jackson
80.108.222.193,at,9001,3.15,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",ClosedSpaceRelay
140.78.100.22,at,8443,0.11,"Fast, Running, Stable, V2Dir, Valid",INSRelay22at8443
140.78.100.17,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay17at5443
81.217.82.246,at,9001,1.23,"Fast, HSDir, Running, Stable, V2Dir, Valid",Heisl01
140.78.100.35,at,5443,0.11,"Fast, HSDir, Running, Stable, V2Dir, Valid",INSRelay35at5443
217.196.147.77,at,443,0.08,"Authority, Running, Stable, V2Dir, Valid",tor26
,,,,,
210.56.228.46,au,8443,0.70,"Fast, HSDir, Running, Stable, V2Dir, Valid",DirtyRoger
180.150.90.44,au,9001,1.09,"Fast, Running, V2Dir, Valid",ShiftyWombat
144.6.23.197,au,9001,0.91,"Fast, Running, Stable, V2Dir, Valid",Starlight
139.99.171.105,au,443,0.93,"Fast, HSDir, Running, Stable, V2Dir, Valid",PortMacquarie
14.2.87.87,au,443,0.81,"Fast, HSDir, Running, Stable, V2Dir, Valid",dxmajam
180.150.77.240,au,9001,0.49,"Running, Stable, V2Dir, Valid",Unnamed
202.63.65.143,au,9001,0.00,"Running, V2Dir, Valid",RedOctober
106.70.251.222,au,443,0.58,"Running, Stable, V2Dir, Valid",260VoltLive
45.124.53.132,au,9001,0.98,"Fast, HSDir, Running, Stable, V2Dir, Valid",Bishibosh
149.171.156.143,au,9001,0.88,"Fast, HSDir, Running, Stable, V2Dir, Valid",katana
159.196.130.39,au,9001,0.92,"Fast, HSDir, Running, Stable, V2Dir, Valid",TorDownUnder
175.33.91.103,au,443,0.78,"Fast, Running, Stable, V2Dir, Valid",OZV8Bogan
139.99.171.4,au,443,0.92,"Fast, HSDir, Running, Stable, V2Dir, Valid",Sydney
101.176.132.201,au,9001,0.39,"Running, Stable, V2Dir, Valid",Raven2
202.169.99.195,au,9001,0.79,"Fast, HSDir, Running, Stable, V2Dir, Valid",MoneroIsKing
3.106.18.153,au,9001,1.44,"Fast, Running, Stable, V2Dir, Valid",SK3WL0FR00TAU01
103.236.163.80,au,12118,1.26,"Fast, Running, Stable, Valid",Unnamed
210.1.203.192,au,9001,0.45,"Running, Stable, V2Dir, Valid",funfungoodtimes
116.255.1.163,au,9003,0.93,"Fast, HSDir, Running, Stable, V2Dir, Valid",badc2ded
203.132.81.114,au,443,0.90,"Fast, Running, Stable, V2Dir, Valid",MyceliumNode
202.63.65.143,au,9001,0.67,"Fast, Running, V2Dir, Valid",RedOctober
180.150.71.182,au,9001,0.68,"Fast, Running, Stable, Valid",woods
172.105.161.162,au,9999,1.01,"BadExit, Fast, MiddleOnly, Running, Stable, Valid",LateNever
77.90.35.165,au,443,1.01,"Fast, HSDir, Running, Stable, V2Dir, Valid",7thSin
149.28.178.78,au,9001,1.50,"Fast, HSDir, Running, Stable, V2Dir, Valid",Raven
45.124.54.183,au,9001,1.04,"Fast, HSDir, Running, Stable, V2Dir, Valid",letmerelay
139.99.170.6,au,443,0.92,"Fast, HSDir, Running, Stable, V2Dir, Valid",ByronBay
149.28.170.126,au,443,0.99,"Fast, Running, Stable, Valid",sneeds
139.99.170.172,au,443,0.83,"Fast, HSDir, Running, Stable, V2Dir, Valid",CradleMountain
77.90.35.161,au,443,1.43,"Fast, HSDir, Running, Stable, V2Dir, Valid",zgato
115.186.203.7,au,443,1.30,"Fast, HSDir, Running, Stable, V2Dir, Valid",RokketTor
123.208.171.47,au,443,0.45,"Running, Stable, V2Dir, Valid",Sentinel
144.6.124.125,au,9001,1.91,"Fast, HSDir, Running, Stable, V2Dir, Valid",ThroatYoghurt
185.177.229.228,au,8080,27.25,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Planetclaire61
144.6.189.17,au,9000,1.01,"Fast, Running, V2Dir, Valid",SCOMO
220.233.73.236,au,9001,1.71,"Fast, Running, Stable, V2Dir, Valid",Unnamed
180.150.27.133,au,9002,0.90,"Fast, HSDir, Running, Stable, V2Dir, Valid",LibreGentoo
